Date,Price,Open,High,Low,Change %
2019-05-20,"1,277.49","1,277.80","1,279.32","1,273.60",0.03%
2019-05-21,"1,274.72","1,278.10","1,278.16","1,269.34",-0.22%
2019-05-22,"1,273.36","1,274.74","1,277.59","1,272.28",-0.11%
2019-05-23,"1,283.05","1,273.80","1,287.62","1,272.61",0.76%
2019-05-24,"1,284.65","1,283.55","1,285.59","1,280.59",0.12%
2019-05-25,"1,284.65","1,283.55","1,285.59","1,280.59",0.12%
2019-05-26,"1,284.65","1,283.55","1,285.59","1,280.59",0.12%
2019-05-27,"1,284.80","1,285.80","1,287.69","1,283.68",0.01%
2019-05-28,"1,279.06","1,285.55","1,286.75","1,276.01",-0.45%
2019-05-29,"1,279.20","1,279.56","1,285.79","1,278.88",0.01%
2019-05-30,"1,288.50","1,279.74","1,289.24","1,274.82",0.73%
2019-05-31,"1,305.25","1,288.35","1,307.11","1,288.00",1.30%
2019-06-01,"1,305.25","1,288.35","1,307.11","1,288.00",1.30%
2019-06-02,"1,305.25","1,288.35","1,307.11","1,288.00",1.30%
2019-06-03,"1,324.77","1,307.40","1,328.34","1,306.62",1.50%
2019-06-04,"1,324.88","1,325.05","1,329.41","1,319.90",0.01%
2019-06-05,"1,329.78","1,325.50","1,344.24","1,324.53",0.37%
2019-06-06,"1,334.80","1,331.99","1,340.09","1,327.26",0.38%
2019-06-07,"1,340.30","1,335.45","1,348.45","1,330.08",0.41%
2019-06-08,"1,340.30","1,335.45","1,348.45","1,330.08",0.41%
2019-06-09,"1,340.30","1,335.45","1,348.45","1,330.08",0.41%
2019-06-10,"1,327.73","1,335.94","1,337.77","1,324.90",-0.94%
2019-06-11,"1,326.66","1,328.40","1,330.22","1,319.74",-0.08%
2019-06-12,"1,333.16","1,327.05","1,338.58","1,326.04",0.49%
2019-06-13,"1,341.95","1,334.00","1,343.41","1,332.22",0.66%
2019-06-14,"1,341.33","1,341.70","1,358.40","1,337.88",-0.05%
2019-06-15,"1,341.33","1,341.70","1,358.40","1,337.88",-0.05%
2019-06-16,"1,341.33","1,341.70","1,358.40","1,337.88",-0.05%
2019-06-17,"1,339.29","1,342.05","1,343.53","1,332.83",-0.15%
2019-06-18,"1,346.08","1,340.30","1,354.68","1,338.54",0.51%
2019-06-19,"1,359.87","1,346.55","1,362.50","1,341.19",1.02%
2019-06-20,"1,387.78","1,360.34","1,393.30","1,357.66",2.05%
2019-06-21,"1,398.65","1,388.22","1,411.08","1,382.44",0.78%
2019-06-22,"1,398.65","1,388.22","1,411.08","1,382.44",0.78%
2019-06-23,"1,398.65","1,388.22","1,411.08","1,382.44",0.78%
2019-06-24,"1,419.15","1,401.35","1,421.20","1,400.33",1.47%
2019-06-25,"1,422.85","1,419.17","1,438.99","1,412.30",0.26%
2019-06-26,"1,408.35","1,423.90","1,424.03","1,402.37",-1.02%
2019-06-27,"1,409.28","1,409.55","1,411.94","1,400.23",0.07%
2019-06-28,"1,409.10","1,409.56","1,424.67","1,406.64",-0.01%
2019-06-29,"1,409.10","1,409.56","1,424.67","1,406.64",-0.01%
2019-06-30,"1,409.10","1,409.56","1,424.67","1,406.64",-0.01%
2019-07-01,"1,384.06","1,392.83","1,397.69","1,381.84",-1.78%
2019-07-02,"1,418.19","1,383.55","1,419.80","1,383.55",2.47%
2019-07-03,"1,418.54","1,419.95","1,436.29","1,412.52",0.02%
2019-07-04,"1,415.19","1,419.59","1,422.02","1,410.43",-0.24%
2019-07-05,"1,399.55","1,415.80","1,424.24","1,386.97",-1.11%
2019-07-06,"1,399.55","1,415.80","1,424.24","1,386.97",-1.11%
2019-07-07,"1,399.55","1,415.80","1,424.24","1,386.97",-1.11%
2019-07-08,"1,395.20","1,400.05","1,408.03","1,391.79",-0.31%
2019-07-09,"1,397.80","1,395.60","1,400.13","1,386.35",0.19%
