Date,Price,Open,High,Low,Vol.,Change %
2020-04-25,"8,190.00","8,190.00","8,190.00","8,190.00",-,0.00%
2020-04-26,"8,190.00","8,190.00","8,190.00","8,190.00",-,0.00%
2020-04-27,"8,190.00","8,190.00","8,190.00","8,190.00",-,0.00%
2020-04-28,"8,190.00","8,190.00","8,190.00","8,190.00",-,0.00%
2020-04-29,"8,290.00","8,290.00","8,290.00","8,290.00",-,1.22%
2020-04-30,"7,890.00","7,890.00","7,890.00","7,890.00",-,-4.83%
2020-05-01,"7,490.00","7,490.00","7,490.00","7,490.00",-,-5.07%
2020-05-02,"7,490.00","7,490.00","7,490.00","7,490.00",-,-5.07%
2020-05-03,"7,490.00","7,490.00","7,490.00","7,490.00",-,-5.07%
2020-05-04,"7,490.00","7,490.00","7,490.00","7,490.00",-,0.00%
2020-05-05,"7,290.00","7,290.00","7,290.00","7,290.00",-,-2.67%
2020-05-06,"6,990.00","6,990.00","6,990.00","6,990.00",-,-4.12%
2020-05-07,"6,990.00","6,990.00","6,990.00","6,990.00",-,0.00%
2020-05-08,"6,990.00","6,990.00","6,990.00","6,990.00",-,0.00%
2020-05-09,"6,990.00","6,990.00","6,990.00","6,990.00",-,0.00%
2020-05-10,"6,990.00","6,990.00","6,990.00","6,990.00",-,0.00%
2020-05-11,"6,990.00","6,990.00","6,990.00","6,990.00",-,0.00%
