Date,Volume
2016-11-26,54962700
2016-11-27,52601800
2016-11-28,61888600
2016-11-29,68511104
2016-11-30,84070800
2016-12-01,80461904
2016-12-02,127605000
2016-12-03,69547296
2016-12-04,60557900
2016-12-05,106363000
2016-12-06,116218000
2016-12-07,96426096
2016-12-08,80111904
2016-12-09,68705296
2016-12-10,53843100
2016-12-11,57313400
2016-12-12,76571000
2016-12-13,81645600
2016-12-14,75979000
2016-12-15,81580096
2016-12-16,83608200
2016-12-17,78989800
2016-12-18,60524400
2016-12-19,74886400
2016-12-20,99629296
2016-12-21,155576000
2016-12-22,200027008
2016-12-23,275564000
2016-12-24,137727008
2016-12-25,143664992
2016-12-26,123771000
2016-12-27,167308000
2016-12-28,236630000
2016-12-29,199320000
2016-12-30,187474000
2016-12-31,99135104
2017-01-01,147775008
2017-01-02,222184992
2017-01-03,185168000
2017-01-04,344945984
2017-01-05,510199008
2017-01-06,351876000
2017-01-07,279550016
2017-01-08,158715008
2017-01-09,141876992
2017-01-10,115808000
2017-01-11,310928992
2017-01-12,222326000
2017-01-13,168968000
2017-01-14,93063296
2017-01-15,71013600
2017-01-16,82755200
2017-01-17,155095008
2017-01-18,225676992
2017-01-19,105625000
2017-01-20,86728400
2017-01-21,111158000
2017-01-22,116573000
2017-01-23,73588600
2017-01-24,111349000
2017-01-25,120831000
2017-01-26,131958000
2017-01-27,125594000
2017-01-28,68979600
2017-01-29,60851700
2017-01-30,78227296
2017-01-31,164582000
2017-02-01,150110000
2017-02-02,145820992
2017-02-03,201278000
2017-02-04,155064000
2017-02-05,114208000
2017-02-06,111762000
2017-02-07,146007008
2017-02-08,201855008
2017-02-09,407220000
2017-02-10,190452000
2017-02-11,102261000
2017-02-12,67530000
2017-02-13,100607000
2017-02-14,137946000
2017-02-15,89759400
2017-02-16,122277000
2017-02-17,136474000
2017-02-18,99073504
2017-02-19,77423296
2017-02-20,109478000
2017-02-21,186868992
2017-02-22,136100000
2017-02-23,189454000
2017-02-24,330759008
2017-02-25,139960992
2017-02-26,116486000
2017-02-27,131570000
2017-02-28,184956000
2017-03-01,229056992
2017-03-02,368275008
2017-03-03,315739008
2017-03-04,183270000
2017-03-05,134127000
2017-03-06,153656992
2017-03-07,291256000
2017-03-08,332603008
2017-03-09,212283008
2017-03-10,563795968
2017-03-11,283320000
2017-03-12,227176000
2017-03-13,380276992
2017-03-14,245306000
2017-03-15,297804992
2017-03-16,638568000
2017-03-17,706598976
2017-03-18,621302016
2017-03-19,406648000
2017-03-20,286529984
2017-03-21,337391008
2017-03-22,380840992
2017-03-23,248540000
2017-03-24,491038016
2017-03-25,435803008
2017-03-26,303668000
2017-03-27,372535008
2017-03-28,326332000
2017-03-29,298457984
2017-03-30,352968992
2017-03-31,447287008
2017-04-01,289633984
2017-04-02,514187008
2017-04-03,580444032
2017-04-04,436310016
2017-04-05,414784000
2017-04-06,511222016
2017-04-07,317022016
2017-04-08,209312000
2017-04-09,242343008
2017-04-10,215883008
2017-04-11,216182000
2017-04-12,288702016
2017-04-13,351968992
2017-04-14,254827008
2017-04-15,203559008
2017-04-16,183231008
2017-04-17,253206000
2017-04-18,270524000
2017-04-19,288060992
2017-04-20,315108000
2017-04-21,272167008
2017-04-22,249320000
2017-04-23,258951008
2017-04-24,235806000
2017-04-25,242556000
2017-04-26,329631008
2017-04-27,449196992
2017-04-28,527488992
2017-04-29,422705984
2017-04-30,413115008
2017-05-01,713624000
2017-05-02,477337984
2017-05-03,583795968
2017-05-04,933548992
2017-05-05,946035968
2017-05-06,582529984
2017-05-07,1080029952
2017-05-08,1340320000
2017-05-09,1167920000
2017-05-10,915723008
2017-05-11,799489984
2017-05-12,740984000
2017-05-13,579635008
2017-05-14,437196000
2017-05-15,731529024
2017-05-16,959044992
2017-05-17,1064729984
2017-05-18,894321024
2017-05-19,1157289984
2017-05-20,961336000
2017-05-21,1147859968
2017-05-22,1942220032
2017-05-23,1378749952
2017-05-24,1725379968
2017-05-25,2406700032
2017-05-26,1763480064
2017-05-27,1700480000
2017-05-28,1147139968
2017-05-29,994625024
2017-05-30,1443970048
2017-05-31,1544829952
2017-06-01,1653180032
2017-06-02,1317030016
2017-06-03,1514950016
