,Date,Open,High,Low,Close,Adj Close,Volume
747,2017-03-08,19308.529297,19326.400391,19198.779297,19254.029297,19254.029297,103200000.0
748,2017-03-09,19343.060547,19350.199219,19262.980469,19318.580078,19318.580078,101100000.0
749,2017-03-10,19444.710938,19623.720703,19427.810547,19604.609375,19604.609375,155300000.0
750,2017-03-11,19444.710938,19623.720703,19427.810547,19604.609375,19604.609375,155300000.0
751,2017-03-12,19444.710938,19623.720703,19427.810547,19604.609375,19604.609375,155300000.0
752,2017-03-13,19545.740234,19656.480469,19531.509766,19633.75,19633.75,92600000.0
753,2017-03-14,19634.289063,19637.550781,19599.619141,19609.5,19609.5,123300000.0
754,2017-03-15,19528.75,19581.529297,19503.740234,19577.380859,19577.380859,115700000.0
755,2017-03-16,19458.699219,19618.990234,19454.169922,19590.140625,19590.140625,122500000.0
756,2017-03-17,19510.890625,19547.509766,19487.919922,19521.589844,19521.589844,137100000.0
757,2017-03-18,19510.890625,19547.509766,19487.919922,19521.589844,19521.589844,137100000.0
758,2017-03-19,19510.890625,19547.509766,19487.919922,19521.589844,19521.589844,137100000.0
759,2017-03-20,19510.890625,19547.509766,19487.919922,19521.589844,19521.589844,137100000.0
760,2017-03-21,19416.550781,19485.140625,19337.220703,19455.880859,19455.880859,101700000.0
761,2017-03-22,19146.619141,19183.269531,19026.529297,19041.380859,19041.380859,136600000.0
762,2017-03-23,19048.839844,19105.109375,18973.75,19085.310547,19085.310547,121000000.0
763,2017-03-24,19066.349609,19296.050781,19060.640625,19262.529297,19262.529297,127700000.0
764,2017-03-25,19066.349609,19296.050781,19060.640625,19262.529297,19262.529297,127700000.0
765,2017-03-26,19066.349609,19296.050781,19060.640625,19262.529297,19262.529297,127700000.0
766,2017-03-27,18985.589844,18985.589844,18985.589844,18985.589844,18985.589844,120800000.0
767,2017-03-28,19159.070313,19203.640625,19113.439453,19202.869141,19202.869141,122300000.0
768,2017-03-29,19216.779297,19251.300781,19164.609375,19217.480469,19217.480469,115100000.0
769,2017-03-30,19150.820313,19218.080078,19043.480469,19063.220703,19063.220703,124500000.0
770,2017-03-31,19170.419922,19210.919922,18909.259766,18909.259766,18909.259766,149200000.0
771,2017-04-01,19170.419922,19210.919922,18909.259766,18909.259766,18909.259766,149200000.0
772,2017-04-02,19170.419922,19210.919922,18909.259766,18909.259766,18909.259766,149200000.0
773,2017-04-03,18988.0,19068.619141,18920.519531,18983.230469,18983.230469,134200000.0
774,2017-04-04,18933.820313,18947.330078,18703.630859,18810.25,18810.25,146900000.0
